,female,Sample_ID,kl2_cq,protamine_cq,qdal_cq,genotype,sample_type,embryo_genotype
0,DB13,DB13_10,0.0,30.153658019642897,30.672023718418203,unknown,embryo,XDXB
1,DB13,DB13_11,0.0,0.0,31.75566375633965,unknown,embryo,XBXB
2,DB13,DB13_12,31.8418362490112,29.9453494654015,0.0,unknown,embryo,XDY
3,DB13,DB13_13,31.541555952191,0.0,31.42306670696995,unknown,embryo,XBY
4,DB13,DB13_14,0.0,0.0,31.467023078453302,unknown,embryo,XBXB
5,DB13,DB13_15,30.940634525541903,29.40853423763955,0.0,unknown,embryo,XDY
6,DB13,DB13_16,31.32865134020415,29.551536727313298,0.0,unknown,embryo,XDY
7,DB13,DB13_17,0.0,0.0,30.81284829839605,unknown,embryo,XBXB
8,DB13,DB13_18,0.0,0.0,30.773524532512347,unknown,embryo,XBXB
9,DB13,DB13_19,0.0,30.44763527279835,32.2575542032768,unknown,embryo,XDXB
10,DB13,DB13_2,32.19313905511895,29.50570727269585,0.0,unknown,embryo,XDY
11,DB13,DB13_20,34.448458781511,0.0,33.83592939002905,unknown,embryo,XBY
12,DB13,DB13_21,0.0,0.0,30.9679530859346,unknown,embryo,XBXB
13,DB13,DB13_22,32.87447644182145,32.14510718958665,0.0,unknown,embryo,XDY
14,DB13,DB13_23,0.0,31.7666749991681,32.0301720949795,unknown,embryo,XDXB
15,DB13,DB13_24,30.917736462439052,30.5378998299929,0.0,unknown,embryo,XDY
16,DB13,DB13_25,0.0,0.0,33.164718280081644,unknown,embryo,XBXB
17,DB13,DB13_26,32.206114886738504,31.6236090987835,0.0,unknown,embryo,XDY
18,DB13,DB13_27,0.0,31.03631009187145,31.960906697843697,unknown,embryo,XDXB
19,DB13,DB13_3,0.0,32.330491765419296,33.0662863423953,unknown,embryo,XDXB
20,DB13,DB13_4,32.2732913061279,0.0,0.0,unknown,embryo,OY
21,DB13,DB13_5,0.0,0.0,30.5423180233705,unknown,embryo,XBXB
22,DB13,DB13_52,34.0194331076707,33.322695922921554,0.0,unknown,embryo,XDY
23,DB13,DB13_53,30.983821054796948,30.090911430799153,0.0,unknown,embryo,XDY
24,DB13,DB13_54,29.32440783025105,29.22603566932765,0.0,unknown,embryo,XDY
25,DB13,DB13_55,0.0,0.0,30.549700024141202,unknown,embryo,XBXB
26,DB13,DB13_56,30.4545188492066,30.59051999872775,31.6171231519202,unknown,embryo,XDXBY
27,DB13,DB13_57,0.0,29.3625898577634,30.47765580005415,unknown,embryo,XDXB
28,DB13,DB13_58,30.1729416029451,0.0,31.0672564848092,unknown,embryo,XBY
29,DB13,DB13_59,0.0,32.1115292097999,34.1621129466736,unknown,embryo,XDXB
30,DB13,DB13_6,0.0,29.80914774779415,30.86240824235525,unknown,embryo,XDXB
31,DB13,DB13_60,0.0,0.0,30.890923653137,unknown,embryo,XBXB
32,DB13,DB13_61,0.0,0.0,29.6678287181969,unknown,embryo,XBXB
33,DB13,DB13_62,0.0,30.6330595611883,32.083555961788946,unknown,embryo,XDXB
34,DB13,DB13_63,0.0,0.0,0.0,unknown,embryo,failed
35,DB13,DB13_64,29.5418730177675,29.30799190567355,0.0,unknown,embryo,XDY
36,DB13,DB13_65,0.0,28.9831373892634,30.631459889050902,unknown,embryo,XDXB
37,DB13,DB13_66,0.0,30.43645014459495,31.7073960782024,unknown,embryo,XDXB
38,DB13,DB13_67,30.1143466118193,0.0,31.6343473918146,unknown,embryo,XBY
39,DB13,DB13_68,0.0,0.0,0.0,unknown,embryo,failed
40,DB13,DB13_69,30.178157903813748,30.0237160738993,0.0,unknown,embryo,XDY
41,DB13,DB13_7,31.20804401924985,0.0,31.25721519523485,unknown,embryo,XBY
42,DB13,DB13_70,0.0,0.0,30.04911767000805,unknown,embryo,XBXB
43,DB13,DB13_71,31.49532483222315,31.359771284753897,0.0,unknown,embryo,XDY
44,DB13,DB13_72,0.0,31.592643265900747,33.04453135564205,unknown,embryo,XDXB
45,DB13,DB13_73,30.476505111207402,30.169658812259,31.90979371906095,unknown,embryo,XDXBY
46,DB13,DB13_74,0.0,29.91072271444595,31.2701342956574,unknown,embryo,XDXB
47,DB13,DB13_75,30.05016437161845,0.0,31.029259723045698,unknown,embryo,XBY
48,DB13,DB13_76,0.0,0.0,30.9657623324849,unknown,embryo,XBXB
49,DB13,DB13_77,0.0,29.6221954964118,31.02699244510425,unknown,embryo,XDXB
50,DB13,DB13_78,29.4766205487433,29.4830664473972,30.898194601102652,unknown,embryo,XDXBY
51,DB13,DB13_79,29.868467900035,29.4797429716389,0.0,unknown,embryo,XDY
52,DB13,DB13_8,31.1575337152646,0.0,31.10031252475615,unknown,embryo,XBY
53,DB13,DB13_80,0.0,0.0,0.0,unknown,embryo,failed
54,DB13,DB13_81,29.643766578997948,0.0,30.897462410981852,unknown,embryo,XBY
55,DB13,DB13_82,31.1241743450442,0.0,32.3246442193388,unknown,embryo,XBY
56,DB13,DB13_83,31.35215841170605,31.8961979386328,0.0,unknown,embryo,XDY
57,DB13,DB13_84,30.71185374776835,29.6356095625727,0.0,unknown,embryo,XDY
58,DB13,DB13_85,0.0,0.0,29.250980738989348,unknown,embryo,XBXB
59,DB13,DB13_86,30.78486837377885,30.0422070156065,31.45401260996895,unknown,embryo,XDXBY
60,DB13,DB13_87,0.0,30.101315010430703,31.37508523644225,unknown,embryo,XDXB
61,DB13,DB13_88,0.0,0.0,0.0,unknown,embryo,failed
62,DB13,DB13_89,0.0,0.0,0.0,unknown,embryo,failed
63,DB13,DB13_9,31.49540702902045,0.0,31.5724227720803,unknown,embryo,XBY
64,DB13,DB13_90,0.0,0.0,33.645784386145706,unknown,embryo,XBXB
65,DB13,DB13_91,30.040364830451097,0.0,30.4323713632581,unknown,embryo,XBY
66,DB13,DB13_92,31.268300611300297,31.28873880751585,0.0,unknown,embryo,XDY
67,DB13,DB13_93,30.565963050144347,0.0,31.255378537248347,unknown,embryo,XBY
68,DB13,DB13_94,0.0,30.5268519149744,31.5202989994353,unknown,embryo,XDXB
69,DB13,DB13_95,0.0,29.89186009870205,31.00433503527765,unknown,embryo,XDXB
70,DB13,DB13_96,30.6502594880976,30.45151338207975,0.0,unknown,embryo,XDY
71,DB13,DB13_97,0.0,30.29828083636345,30.3101852396168,unknown,embryo,XDXB
72,DB13,DB13_98,0.0,30.65007448542145,32.178557715189854,unknown,embryo,XDXB
73,female1,female1_1,29.6513433244715,29.231146808515902,0.0,unknown,embryo,XDY
74,female1,female1_10,0.0,30.04161866613665,31.60440990773075,unknown,embryo,XDXB
75,female1,female1_100,0.0,30.3092110561517,31.7688669335963,unknown,embryo,XDXB
76,female1,female1_101,30.3847101108143,30.34572929900365,0.0,unknown,embryo,XDY
